,timestamp,lp
2023-07-10 13:05:30.745096,,621.1
2023-07-10 13:05:30.746095,,621.3
2023-07-10 13:05:31.614559,,621.05
2023-07-10 13:05:32.927176,,621.0
2023-07-10 13:05:33.609839,,621.05
2023-07-10 13:05:33.930933,,621.0
2023-07-10 13:05:34.611511,,621.25
2023-07-10 13:05:34.928317,,621.0
2023-07-10 13:05:35.612894,,621.2
2023-07-10 13:05:36.132572,,621.3
2023-07-10 13:05:37.615654,,621.25
2023-07-10 13:05:38.333211,,621.4
2023-07-10 13:05:38.608041,,621.3
2023-07-10 13:05:39.342585,,621.4
2023-07-10 13:05:40.338323,,621.25
2023-07-10 13:05:30.745096,,621.1
2023-07-10 13:05:30.746095,,621.3
2023-07-10 13:05:31.614559,,621.05
2023-07-10 13:05:32.927176,,621.0
2023-07-10 13:05:33.609839,,621.05
2023-07-10 13:05:33.930933,,621.0
2023-07-10 13:05:34.611511,,621.25
2023-07-10 13:05:34.928317,,621.0
2023-07-10 13:05:35.612894,,621.2
2023-07-10 13:05:36.132572,,621.3
2023-07-10 13:05:37.615654,,621.25
2023-07-10 13:05:38.333211,,621.4
2023-07-10 13:05:38.608041,,621.3
2023-07-10 13:05:39.342585,,621.4
2023-07-10 13:05:40.338323,,621.25
2023-07-10 13:05:30.745096,,621.1
2023-07-10 13:05:30.746095,,621.3
2023-07-10 13:05:31.614559,,621.05
2023-07-10 13:05:32.927176,,621.0
2023-07-10 13:05:33.609839,,621.05
2023-07-10 13:05:33.930933,,621.0
2023-07-10 13:05:34.611511,,621.25
2023-07-10 13:05:34.928317,,621.0
2023-07-10 13:05:35.612894,,621.2
2023-07-10 13:05:36.132572,,621.3
2023-07-10 13:05:37.615654,,621.25
2023-07-10 13:05:38.333211,,621.4
2023-07-10 13:05:38.608041,,621.3
2023-07-10 13:05:39.342585,,621.4
2023-07-10 13:05:40.338323,,621.25
2023-07-10 13:05:41.349694,,621.4
2023-07-10 13:05:41.349694,,621.4
2023-07-10 13:05:42.537963,,621.45
2023-07-10 13:05:43.742216,,621.3
2023-07-10 13:05:44.939477,,621.45
2023-07-10 13:05:45.154343,,621.4
2023-07-10 13:05:45.617058,,621.45
2023-07-10 13:05:46.342639,,621.25
2023-07-10 13:05:47.547444,,621.35
2023-07-10 13:05:48.614786,,621.7
2023-07-10 13:05:48.743702,,621.55
2023-07-10 13:05:49.612167,,621.5
2023-07-10 13:05:50.612551,,621.75
2023-07-10 13:05:52.618309,,621.55
2023-07-10 13:05:52.751226,,621.8
2023-07-10 13:05:53.621996,,621.75
2023-07-10 13:05:54.665380,,621.55
2023-07-10 13:05:54.950203,,621.75
2023-07-10 13:05:55.157075,,621.55
2023-07-10 13:05:55.611795,,621.75
2023-07-10 13:05:56.354335,,621.7
2023-07-10 13:05:56.613174,,621.55
2023-07-10 13:05:57.354716,,621.4
2023-07-10 13:06:02.621835,,621.15
2023-07-10 13:06:03.614225,,621.2
2023-07-10 13:06:03.763132,,621.4
2023-07-10 13:06:04.615603,,621.35
2023-07-10 13:06:04.975384,,621.4
2023-07-10 13:06:05.614986,,621.15
2023-07-10 13:06:06.616366,,621.4
2023-07-10 13:06:07.568777,,621.1
2023-07-10 13:06:08.614132,,621.15
2023-07-10 13:06:08.771035,,621.4
2023-07-10 13:06:10.971674,,621.15
2023-07-10 13:06:13.380186,,621.05
2023-07-10 13:06:13.633030,,621.1
2023-07-10 13:06:14.376425,,621.0
2023-07-10 13:06:15.597669,,621.1
2023-07-10 13:06:16.580061,,621.15
2023-07-10 13:06:17.584441,,620.9
2023-07-10 13:06:19.783081,,620.85
2023-07-10 13:06:20.617775,,620.9
2023-07-10 13:06:21.617331,,620.85
2023-07-10 13:06:22.620713,,620.8
2023-07-10 13:06:23.389235,,620.85
2023-07-10 13:06:23.635084,,620.8
2023-07-10 13:06:24.594489,,620.85
2023-07-10 13:06:26.623238,,620.9
2023-07-10 13:06:28.192613,,620.85
2023-07-10 13:06:29.194993,,621.0
2023-07-10 13:06:29.620734,,620.9
2023-07-10 13:06:30.620113,,620.95
2023-07-10 13:06:31.619493,,621.0
2023-07-10 13:06:33.603791,,620.95
2023-07-10 13:06:34.802898,,621.1
2023-07-10 13:06:36.622773,,621.2
2023-07-10 13:06:37.003538,,621.1
2023-07-10 13:06:37.206412,,621.2
2023-07-10 13:06:37.633148,,621.0
2023-07-10 13:06:38.206792,,620.95
2023-07-10 13:06:38.620536,,621.0
2023-07-10 13:06:39.208174,,621.2
2023-07-10 13:06:39.620919,,621.0
2023-07-10 13:06:40.624520,,621.15
