,timestamp,lp
2023-07-10 14:07:45.267884,,622.45
2023-07-10 14:07:46.875390,,622.3
2023-07-10 14:07:47.125938,,622.4
2023-07-10 14:07:47.873683,,622.3
2023-07-10 14:07:49.075454,,622.25
2023-07-10 14:07:49.276957,,622.5
2023-07-10 14:07:50.128761,,622.25
2023-07-10 14:07:50.275725,,622.3
2023-07-10 14:07:51.128501,,622.2
2023-07-10 14:07:51.282118,,622.25
2023-07-10 14:07:52.127189,,622.15
2023-07-10 14:07:54.132194,,622.2
2023-07-10 14:07:54.888725,,622.15
2023-07-10 14:07:55.130574,,622.2
2023-07-10 14:07:45.267884,,622.45
2023-07-10 14:07:46.875390,,622.3
2023-07-10 14:07:47.125938,,622.4
2023-07-10 14:07:47.873683,,622.3
2023-07-10 14:07:49.075454,,622.25
2023-07-10 14:07:49.276957,,622.5
2023-07-10 14:07:50.128761,,622.25
2023-07-10 14:07:50.275725,,622.3
2023-07-10 14:07:51.128501,,622.2
2023-07-10 14:07:51.282118,,622.25
2023-07-10 14:07:52.127189,,622.15
2023-07-10 14:07:54.132194,,622.2
2023-07-10 14:07:54.888725,,622.15
2023-07-10 14:07:55.130574,,622.2
2023-07-10 14:07:45.267884,,622.45
2023-07-10 14:07:46.875390,,622.3
2023-07-10 14:07:47.125938,,622.4
2023-07-10 14:07:47.873683,,622.3
2023-07-10 14:07:49.075454,,622.25
2023-07-10 14:07:49.276957,,622.5
2023-07-10 14:07:50.128761,,622.25
2023-07-10 14:07:50.275725,,622.3
2023-07-10 14:07:51.128501,,622.2
2023-07-10 14:07:51.282118,,622.25
2023-07-10 14:07:52.127189,,622.15
2023-07-10 14:07:54.132194,,622.2
2023-07-10 14:07:54.888725,,622.15
2023-07-10 14:07:55.130574,,622.2
2023-07-10 14:07:45.267884,,622.45
2023-07-10 14:07:46.875390,,622.3
2023-07-10 14:07:47.125938,,622.4
2023-07-10 14:07:47.873683,,622.3
2023-07-10 14:07:49.075454,,622.25
2023-07-10 14:07:49.276957,,622.5
2023-07-10 14:07:50.128761,,622.25
2023-07-10 14:07:50.275725,,622.3
2023-07-10 14:07:51.128501,,622.2
2023-07-10 14:07:51.282118,,622.25
2023-07-10 14:07:52.127189,,622.15
2023-07-10 14:07:54.132194,,622.2
2023-07-10 14:07:54.888725,,622.15
2023-07-10 14:07:55.130574,,622.2
2023-07-10 14:07:55.714213,,622.15
2023-07-10 14:07:55.714213,,622.15
2023-07-10 14:07:56.134952,,622.2
2023-07-10 14:07:56.691606,,622.15
2023-07-10 14:07:57.128335,,622.2
2023-07-10 14:07:57.939313,,622.15
2023-07-10 14:07:58.686501,,622.2
2023-07-10 14:08:00.088399,,622.15
2023-07-10 14:08:03.087685,,622.2
2023-07-10 14:08:03.287560,,622.15
2023-07-10 14:08:04.127041,,622.2
2023-07-10 14:08:08.131562,,622.45
2023-07-10 14:08:08.298460,,622.5
2023-07-10 14:08:09.495717,,622.35
2023-07-10 14:08:10.129266,,622.55
2023-07-10 14:08:10.496605,,622.6
2023-07-10 14:08:11.129788,,622.5
2023-07-10 14:08:12.700682,,622.35
2023-07-10 14:08:13.129257,,622.5
2023-07-10 14:08:15.107267,,622.45
2023-07-10 14:08:15.504109,,622.5
2023-07-10 14:08:16.132719,,622.45
2023-07-10 14:08:19.131089,,622.35
2023-07-10 14:08:20.131967,,622.45
2023-07-10 14:08:24.715022,,622.35
2023-07-10 14:08:25.133000,,622.45
2023-07-10 14:08:25.715162,,622.35
2023-07-10 14:08:27.916168,,622.45
2023-07-10 14:08:30.718383,,622.35
2023-07-10 14:08:32.133505,,622.45
2023-07-10 14:08:33.722520,,622.35
2023-07-10 14:08:34.135269,,622.45
2023-07-10 14:08:34.725901,,622.35
2023-07-10 14:08:35.138601,,622.4
2023-07-10 14:08:35.930058,,622.45
2023-07-10 14:08:38.129045,,622.4
2023-07-10 14:08:38.339969,,622.35
2023-07-10 14:08:39.136027,,622.4
2023-07-10 14:08:40.138801,,622.35
2023-07-10 14:08:41.130723,,622.4
2023-07-10 14:08:42.142210,,622.25
2023-07-10 14:08:44.137791,,622.15
2023-07-10 14:08:45.138631,,622.2
2023-07-10 14:08:45.546911,,622.25
2023-07-10 14:08:47.137551,,622.2
2023-07-10 14:08:48.141981,,622.15
2023-07-10 14:08:49.139385,,622.25
2023-07-10 14:08:50.138943,,622.2
2023-07-10 14:08:50.539940,,622.25
2023-07-10 14:08:51.138374,,622.2
2023-07-10 14:08:52.139622,,622.15
2023-07-10 14:08:52.544191,,622.2
2023-07-10 14:08:58.179888,,622.15
2023-07-10 14:08:58.575812,,622.25
2023-07-10 14:08:59.141291,,622.15
2023-07-10 14:08:59.554253,,622.25
2023-07-10 14:09:01.141146,,622.2
2023-07-10 14:09:04.958857,,622.15
2023-07-10 14:09:05.142744,,622.2
2023-07-10 14:09:06.141137,,622.15
2023-07-10 14:09:06.961611,,622.2
2023-07-10 14:09:10.145253,,622.15
2023-07-10 14:09:13.975372,,622.2
2023-07-10 14:09:14.981146,,622.15
2023-07-10 14:09:15.150509,,622.2
2023-07-10 14:09:20.780708,,622.25
2023-07-10 14:09:22.149834,,622.4
