,timestamp,lp
2023-07-10 13:48:44.050299,,625.0
2023-07-10 13:48:45.855778,,624.85
2023-07-10 13:48:46.092632,,624.95
2023-07-10 13:48:47.096011,,625.0
2023-07-10 13:48:47.852723,,624.8
2023-07-10 13:48:48.854690,,624.95
2023-07-10 13:48:49.853825,,624.8
2023-07-10 13:48:50.303847,,624.95
2023-07-10 13:48:50.852505,,625.0
2023-07-10 13:48:51.506102,,624.8
2023-07-10 13:48:53.704211,,624.95
2023-07-10 13:48:56.861598,,624.75
2023-07-10 13:48:57.859555,,624.95
2023-07-10 13:48:58.862916,,624.9
2023-07-10 13:48:59.314636,,624.95
2023-07-10 13:48:59.865678,,624.9
2023-07-10 13:49:00.310910,,624.95
2023-07-10 13:49:02.860037,,624.85
2023-07-10 13:49:03.864086,,624.95
2023-07-10 13:49:05.117649,,624.9
2023-07-10 13:49:05.866998,,624.95
2023-07-10 13:49:06.316720,,624.9
2023-07-10 13:49:06.857158,,624.95
2023-07-10 13:49:07.319320,,624.9
2023-07-10 13:49:07.857213,,624.85
2023-07-10 13:49:08.857595,,624.95
2023-07-10 13:49:09.122431,,624.9
2023-07-10 13:49:09.856831,,624.95
2023-07-10 13:49:10.321305,,624.9
2023-07-10 13:49:10.874964,,625.0
2023-07-10 13:49:11.868444,,624.9
2023-07-10 13:49:12.328619,,625.0
2023-07-10 13:49:13.868798,,624.85
2023-07-10 13:49:14.327272,,625.0
2023-07-10 13:49:15.866914,,624.85
2023-07-10 13:49:16.862392,,625.0
2023-07-10 13:49:17.334105,,624.9
2023-07-10 13:49:17.864169,,624.85
2023-07-10 13:49:18.335889,,624.9
2023-07-10 13:49:18.860231,,625.0
2023-07-10 13:49:19.137061,,624.85
2023-07-10 13:49:20.133749,,624.95
2023-07-10 13:49:20.868633,,625.0
2023-07-10 13:49:21.735660,,625.15
2023-07-10 13:49:22.138411,,624.9
2023-07-10 13:49:22.860966,,625.15
2023-07-10 13:49:24.340904,,624.95
2023-07-10 13:49:24.869173,,624.9
2023-07-10 13:49:25.864267,,625.0
2023-07-10 13:49:26.862709,,624.8
2023-07-10 13:49:27.143612,,624.85
2023-07-10 13:49:27.873385,,625.0
2023-07-10 13:49:28.145490,,624.9
2023-07-10 13:49:28.861322,,624.8
2023-07-10 13:49:29.146145,,624.95
2023-07-10 13:49:30.348414,,625.0
2023-07-10 13:49:30.862097,,624.95
2023-07-10 13:49:31.149919,,625.0
2023-07-10 13:49:31.894460,,625.05
2023-07-10 13:49:32.878849,,625.1
2023-07-10 13:49:34.862621,,625.0
2023-07-10 13:49:35.755067,,625.15
2023-07-10 13:49:37.863196,,625.1
2023-07-10 13:49:38.866505,,625.15
2023-07-10 13:49:39.964206,,625.1
2023-07-10 13:49:41.864156,,625.05
2023-07-10 13:49:42.864467,,625.15
2023-07-10 13:49:43.191580,,625.1
2023-07-10 13:49:43.865721,,625.15
2023-07-10 13:49:47.865443,,625.05
2023-07-10 13:49:48.370407,,625.15
2023-07-10 13:49:49.375163,,625.05
2023-07-10 13:49:49.868854,,625.15
2023-07-10 13:49:50.431507,,625.1
2023-07-10 13:49:51.376922,,625.0
2023-07-10 13:49:52.576851,,625.1
2023-07-10 13:49:53.176467,,625.0
2023-07-10 13:49:53.866421,,625.15
2023-07-10 13:49:54.867247,,625.0
2023-07-10 13:49:55.178171,,625.1
2023-07-10 13:49:55.867750,,625.0
2023-07-10 13:49:56.867596,,625.1
2023-07-10 13:49:57.867761,,625.15
2023-07-10 13:49:58.182512,,625.0
2023-07-10 13:49:58.869383,,625.1
2023-07-10 13:49:59.184271,,625.15
2023-07-10 13:49:59.871474,,625.0
2023-07-10 13:50:00.866911,,625.1
2023-07-10 13:50:03.869066,,625.15
