,timestamp,lp
2023-07-10 12:27:01.228980,,626.0
2023-07-10 12:27:01.549782,,626.1
2023-07-10 12:27:02.081453,,626.05
2023-07-10 12:27:05.354429,,626.0
2023-07-10 12:27:06.074987,,626.05
2023-07-10 12:27:07.078362,,626.0
2023-07-10 12:27:08.557449,,625.9
2023-07-10 12:27:09.076128,,626.05
2023-07-10 12:27:10.076447,,625.9
2023-07-10 12:27:10.966898,,625.95
2023-07-10 12:27:01.228980,,626.0
2023-07-10 12:27:01.549782,,626.1
2023-07-10 12:27:02.081453,,626.05
2023-07-10 12:27:05.354429,,626.0
2023-07-10 12:27:06.074987,,626.05
2023-07-10 12:27:07.078362,,626.0
2023-07-10 12:27:08.557449,,625.9
2023-07-10 12:27:09.076128,,626.05
2023-07-10 12:27:10.076447,,625.9
2023-07-10 12:27:10.966898,,625.95
2023-07-10 12:27:11.985269,,625.8
2023-07-10 12:27:11.985269,,625.8
2023-07-10 12:27:11.985269,,625.8
2023-07-10 12:27:13.078592,,625.95
2023-07-10 12:27:13.367413,,625.8
2023-07-10 12:27:14.084484,,625.95
2023-07-10 12:27:14.584175,,625.8
2023-07-10 12:27:15.078635,,625.95
2023-07-10 12:27:16.079302,,625.8
2023-07-10 12:27:18.078064,,625.75
2023-07-10 12:27:18.975651,,625.8
2023-07-10 12:27:21.174129,,625.7
2023-07-10 12:27:21.385000,,625.8
2023-07-10 12:27:22.978014,,625.75
2023-07-10 12:27:25.087080,,625.0
2023-07-10 12:27:26.585152,,625.1
2023-07-10 12:27:27.082846,,625.05
2023-07-10 12:27:27.785411,,625.0
2023-07-10 12:27:28.783922,,625.1
2023-07-10 12:27:29.080055,,625.15
2023-07-10 12:27:30.987874,,625.0
2023-07-10 12:27:33.085581,,625.15
2023-07-10 12:27:34.193368,,625.0
2023-07-10 12:27:35.090814,,625.1
2023-07-10 12:27:35.394623,,625.05
2023-07-10 12:27:36.081198,,625.1
2023-07-10 12:27:36.410995,,625.0
2023-07-10 12:27:37.395647,,625.1
2023-07-10 12:27:38.397342,,625.0
2023-07-10 12:27:39.084918,,625.1
2023-07-10 12:27:40.084299,,625.15
2023-07-10 12:27:40.600979,,625.2
2023-07-10 12:27:41.089796,,625.1
2023-07-10 12:27:41.815714,,625.2
2023-07-10 12:27:43.007219,,625.1
2023-07-10 12:27:44.592239,,625.2
2023-07-10 12:27:46.087315,,625.0
2023-07-10 12:27:47.807252,,625.2
2023-07-10 12:27:50.816986,,625.15
2023-07-10 12:27:51.088043,,625.0
2023-07-10 12:27:53.615419,,625.1
2023-07-10 12:27:56.086889,,625.2
2023-07-10 12:27:57.088272,,625.15
2023-07-10 12:27:58.837189,,625.1
2023-07-10 12:27:59.591656,,625.05
2023-07-10 12:28:00.092689,,625.1
2023-07-10 12:28:01.026108,,625.2
2023-07-10 12:28:02.088451,,625.1
2023-07-10 12:28:02.225370,,625.15
2023-07-10 12:28:02.423244,,625.1
2023-07-10 12:28:03.633380,,625.15
2023-07-10 12:28:04.829976,,625.2
2023-07-10 12:28:05.086824,,625.1
2023-07-10 12:28:06.096191,,625.2
2023-07-10 12:28:06.830738,,625.05
2023-07-10 12:28:07.090579,,625.1
2023-07-10 12:28:08.042692,,625.05
2023-07-10 12:28:09.094046,,625.0
2023-07-10 12:28:10.088431,,625.2
2023-07-10 12:28:11.092994,,625.1
2023-07-10 12:28:12.089188,,625.05
2023-07-10 12:28:12.452963,,625.0
2023-07-10 12:28:14.642608,,625.1
2023-07-10 12:28:15.648675,,625.15
2023-07-10 12:28:16.092805,,625.1
2023-07-10 12:28:17.093185,,625.0
2023-07-10 12:28:18.050594,,625.1
2023-07-10 12:28:21.046747,,625.0
2023-07-10 12:28:21.093719,,625.1
2023-07-10 12:28:23.653649,,625.1
2023-07-10 12:28:24.654017,,625.0
2023-07-10 12:28:27.658142,,625.1
2023-07-10 12:28:28.094346,,625.0
2023-07-10 12:28:28.662994,,625.1
2023-07-10 12:28:29.101726,,625.15
2023-07-10 12:28:32.096067,,625.1
2023-07-10 12:28:32.474832,,625.0
2023-07-10 12:28:33.097448,,625.15
2023-07-10 12:28:34.095830,,625.0
2023-07-10 12:28:35.666558,,625.15
2023-07-10 12:28:36.108119,,625.1
2023-07-10 12:28:40.079111,,625.15
2023-07-10 12:28:41.074493,,625.0
2023-07-10 12:28:42.097862,,625.05
2023-07-10 12:28:45.099569,,625.15
2023-07-10 12:28:45.479341,,625.1
2023-07-10 12:28:46.102951,,625.15
2023-07-10 12:28:46.478718,,625.2
2023-07-10 12:28:47.479552,,625.05
2023-07-10 12:28:48.102979,,625.2
2023-07-10 12:28:48.682628,,625.25
2023-07-10 12:28:49.105368,,625.05
2023-07-10 12:28:49.683010,,625.1
2023-07-10 12:28:52.889040,,625.05
2023-07-10 12:28:54.090296,,625.15
2023-07-10 12:28:55.090677,,625.05
2023-07-10 12:28:57.099162,,625.15
2023-07-10 12:28:58.106541,,624.8
2023-07-10 12:28:59.101923,,625.05
2023-07-10 12:28:59.500996,,624.8
2023-07-10 12:29:00.101256,,625.0
2023-07-10 12:29:02.106016,,625.1
2023-07-10 12:29:04.502533,,625.05
2023-07-10 12:29:05.507913,,625.1
2023-07-10 12:29:06.108541,,625.15
2023-07-10 12:29:06.707170,,625.0
2023-07-10 12:29:07.907429,,625.05
2023-07-10 12:29:08.910809,,625.2
2023-07-10 12:29:09.911204,,625.25
2023-07-10 12:29:11.121456,,625.2
2023-07-10 12:29:12.107848,,625.25
2023-07-10 12:29:13.106403,,625.2
2023-07-10 12:29:14.518090,,625.25
2023-07-10 12:29:16.720076,,625.2
2023-07-10 12:29:17.110657,,625.15
2023-07-10 12:29:18.110179,,625.25
2023-07-10 12:29:21.111979,,625.2
2023-07-10 12:29:21.325616,,625.25
2023-07-10 12:29:22.531871,,625.1
2023-07-10 12:29:23.736125,,625.05
2023-07-10 12:29:24.109893,,625.25
2023-07-10 12:29:26.934699,,625.2
2023-07-10 12:29:28.108961,,625.25
2023-07-10 12:29:29.109217,,625.15
2023-07-10 12:29:30.117595,,625.25
2023-07-10 12:29:31.111979,,625.15
2023-07-10 12:29:32.345910,,625.25
2023-07-10 12:29:32.540030,,625.15
2023-07-10 12:29:33.541043,,625.25
2023-07-10 12:29:34.109694,,625.15
2023-07-10 12:29:34.740302,,625.25
2023-07-10 12:29:37.110906,,625.15
2023-07-10 12:29:38.113286,,625.25
2023-07-10 12:29:39.109670,,625.3
2023-07-10 12:29:39.748276,,625.25
2023-07-10 12:29:40.117048,,625.15
2023-07-10 12:29:42.123533,,625.25
2023-07-10 12:29:43.127910,,625.15
2023-07-10 12:29:44.363147,,625.3
2023-07-10 12:29:45.110683,,625.25
2023-07-10 12:29:46.112065,,625.15
2023-07-10 12:29:47.113154,,625.3
2023-07-10 12:29:48.124528,,625.25
2023-07-10 12:29:49.122912,,625.2
2023-07-10 12:29:49.559640,,625.3
2023-07-10 12:29:50.118295,,625.25
2023-07-10 12:29:51.112680,,625.3
2023-07-10 12:29:51.771274,,625.2
2023-07-10 12:29:52.122059,,625.3
2023-07-10 12:29:52.963422,,625.2
2023-07-10 12:29:54.131701,,625.3
2023-07-10 12:29:54.163678,,625.2
2023-07-10 12:29:55.116091,,625.3
2023-07-10 12:29:56.121469,,625.25
2023-07-10 12:29:56.570189,,625.2
2023-07-10 12:29:57.767787,,625.3
2023-07-10 12:30:00.622026,,625.25
2023-07-10 12:30:01.789302,,625.15
2023-07-10 12:30:02.979519,,625.2
2023-07-10 12:30:04.136279,,625.25
2023-07-10 12:30:05.177635,,625.3
2023-07-10 12:30:05.182632,,625.2
2023-07-10 12:30:06.125051,,625.25
2023-07-10 12:30:07.119946,,625.15
