,timestamp,lp
2023-07-10 14:19:57.081173,,622.8
2023-07-10 14:19:57.738640,,622.75
2023-07-10 14:19:59.168919,,622.8
2023-07-10 14:19:59.738218,,622.75
2023-07-10 14:20:01.368202,,622.7
2023-07-10 14:20:01.742972,,622.75
2023-07-10 14:20:03.738733,,622.7
2023-07-10 14:20:03.977193,,622.75
2023-07-10 14:20:05.376065,,622.7
2023-07-10 14:20:05.743980,,622.75
2023-07-10 14:20:06.760783,,622.65
2023-07-10 14:19:57.081173,,622.8
2023-07-10 14:19:57.738640,,622.75
2023-07-10 14:19:59.168919,,622.8
2023-07-10 14:19:59.738218,,622.75
2023-07-10 14:20:01.368202,,622.7
2023-07-10 14:20:01.742972,,622.75
2023-07-10 14:20:03.738733,,622.7
2023-07-10 14:20:03.977193,,622.75
2023-07-10 14:20:05.376065,,622.7
2023-07-10 14:20:05.743980,,622.75
2023-07-10 14:20:06.760783,,622.65
2023-07-10 14:19:57.081173,,622.8
2023-07-10 14:19:57.738640,,622.75
2023-07-10 14:19:59.168919,,622.8
2023-07-10 14:19:59.738218,,622.75
2023-07-10 14:20:01.368202,,622.7
2023-07-10 14:20:01.742972,,622.75
2023-07-10 14:20:03.738733,,622.7
2023-07-10 14:20:03.977193,,622.75
2023-07-10 14:20:05.376065,,622.7
2023-07-10 14:20:05.743980,,622.75
2023-07-10 14:20:06.760783,,622.65
2023-07-10 14:19:57.081173,,622.8
2023-07-10 14:19:57.738640,,622.75
2023-07-10 14:19:59.168919,,622.8
2023-07-10 14:19:59.738218,,622.75
2023-07-10 14:20:01.368202,,622.7
2023-07-10 14:20:01.742972,,622.75
2023-07-10 14:20:03.738733,,622.7
2023-07-10 14:20:03.977193,,622.75
2023-07-10 14:20:05.376065,,622.7
2023-07-10 14:20:05.743980,,622.75
2023-07-10 14:20:06.760783,,622.65
2023-07-10 14:20:08.737559,,622.6
2023-07-10 14:20:09.179918,,622.65
2023-07-10 14:20:13.740533,,622.6
2023-07-10 14:20:13.987381,,622.65
2023-07-10 14:20:17.190563,,622.6
2023-07-10 14:20:18.391396,,622.65
2023-07-10 14:20:20.746385,,622.55
2023-07-10 14:20:20.796353,,622.65
2023-07-10 14:20:22.741892,,622.6
2023-07-10 14:20:25.200306,,622.5
2023-07-10 14:20:25.743384,,622.6
2023-07-10 14:20:26.405973,,622.55
2023-07-10 14:20:26.602853,,622.5
2023-07-10 14:20:27.613111,,622.55
2023-07-10 14:20:27.753022,,622.5
2023-07-10 14:20:29.741597,,622.55
2023-07-10 14:20:32.209404,,622.5
2023-07-10 14:20:32.743312,,622.55
2023-07-10 14:20:34.411417,,622.5
2023-07-10 14:20:34.746212,,622.55
2023-07-10 14:20:35.611729,,622.5
2023-07-10 14:20:36.743443,,622.55
2023-07-10 14:20:37.995692,,622.5
2023-07-10 14:20:39.015125,,622.55
2023-07-10 14:20:40.743263,,622.5
2023-07-10 14:20:42.420144,,622.55
2023-07-10 14:20:42.745969,,622.5
2023-07-10 14:20:43.621584,,622.55
2023-07-10 14:20:51.032127,,622.5
