,timestamp,lp
2023-07-11 10:02:01.765182,,625.0
2023-07-11 10:02:02.542038,,624.95
2023-07-11 10:02:04.539662,,625.0
2023-07-11 10:02:05.538325,,625.2
2023-07-11 10:02:08.542502,,625.15
2023-07-11 10:02:09.764927,,625.0
2023-07-11 10:02:10.559703,,625.15
2023-07-11 10:02:13.171294,,625.0
2023-07-11 10:02:14.541201,,624.8
2023-07-11 10:02:16.551715,,625.2
2023-07-11 10:02:17.772065,,625.3
2023-07-11 10:02:18.540986,,625.0
2023-07-11 10:02:19.541463,,625.1
2023-07-11 10:02:20.173441,,624.85
2023-07-11 10:02:22.542286,,624.8
2023-07-11 10:02:23.549663,,625.05
2023-07-11 10:02:24.546046,,624.95
2023-07-11 10:02:25.547305,,624.8
2023-07-11 10:02:27.544069,,625.0
2023-07-11 10:02:27.798910,,624.9
2023-07-11 10:02:28.545451,,624.75
2023-07-11 10:02:28.776529,,625.0
2023-07-11 10:02:29.593546,,624.8
2023-07-11 10:02:30.554205,,625.05
2023-07-11 10:02:31.549392,,624.75
2023-07-11 10:02:32.174005,,625.05
2023-07-11 10:02:33.540984,,625.15
2023-07-11 10:02:34.543361,,624.8
2023-07-11 10:02:35.546742,,625.0
2023-07-11 10:02:38.541886,,624.8
2023-07-11 10:02:39.559257,,625.0
2023-07-11 10:02:43.820716,,624.85
2023-07-11 10:02:45.553643,,625.0
2023-07-11 10:02:46.547029,,624.95
2023-07-11 10:02:47.187631,,624.85
2023-07-11 10:02:47.546410,,625.0
2023-07-11 10:02:48.378895,,624.85
2023-07-11 10:02:50.551551,,625.05
2023-07-11 10:02:51.547600,,625.0
2023-07-11 10:02:51.779984,,624.85
2023-07-11 10:02:52.783242,,625.05
2023-07-11 10:02:53.548377,,624.85
2023-07-11 10:02:54.782922,,624.8
2023-07-11 10:02:56.558194,,624.85
2023-07-11 10:02:56.781318,,625.0
2023-07-11 10:02:57.552221,,624.95
2023-07-11 10:02:58.545950,,624.9
2023-07-11 10:02:59.549462,,624.95
2023-07-11 10:03:00.546260,,625.0
2023-07-11 10:03:02.186244,,624.75
2023-07-11 10:03:02.429094,,624.7
2023-07-11 10:03:02.550017,,624.75
2023-07-11 10:03:03.385500,,624.8
2023-07-11 10:03:04.559774,,624.7
2023-07-11 10:03:07.556918,,624.6
2023-07-11 10:03:07.987652,,624.65
2023-07-11 10:03:08.557299,,624.75
2023-07-11 10:03:08.992030,,624.8
2023-07-11 10:03:09.550684,,624.6
2023-07-11 10:03:10.387165,,624.75
2023-07-11 10:03:10.559061,,624.7
2023-07-11 10:03:12.562715,,624.75
2023-07-11 10:03:13.550977,,624.7
2023-07-11 10:03:14.019686,,624.75
2023-07-11 10:03:14.554355,,624.8
2023-07-11 10:03:15.231937,,624.85
2023-07-11 10:03:16.190342,,624.9
2023-07-11 10:03:16.557117,,624.7
