,timestamp,open,high,low,close,lp
2023-07-11 10:38:55.695932,,,,,,626.95
2023-07-11 10:38:56.244059,,,,,,626.9
2023-07-11 10:38:57.043597,,,,,,626.95
2023-07-11 10:38:58.033432,,,,,,626.7
2023-07-11 10:38:58.697538,,,,,,626.9
2023-07-11 10:38:59.699860,,,,,,626.65
2023-07-11 10:39:00.703753,,,,,,626.8
2023-07-11 10:39:01.708132,,,,,,626.6
2023-07-11 10:39:02.035928,,,,,,626.55
2023-07-11 10:39:05.505782,,,,,,626.65
2023-07-11 10:39:07.046826,,,,,,626.7
2023-07-11 10:39:08.706799,,,,,,626.7
2023-07-11 10:39:09.042591,,,,,,626.65
2023-07-11 10:39:09.500307,,,,,,626.5
2023-07-11 10:39:10.235852,,,,,,626.45
2023-07-11 10:39:11.032359,,,,,,626.65
2023-07-11 10:39:12.040736,,,,,,626.55
2023-07-11 10:39:13.951553,,,,,,626.75
2023-07-11 10:39:14.247368,,,,,,626.6
2023-07-11 10:39:15.040564,,,,,,626.7
2023-07-11 10:39:15.303401,,,,,,626.55
2023-07-11 10:39:16.040205,,,,,,626.75
2023-07-11 10:39:17.031459,,,,,,626.6
2023-07-11 10:39:18.034051,,,,,,626.65
2023-07-11 10:39:18.531269,,,,,,626.75
2023-07-11 10:39:19.713038,,,,,,626.7
2023-07-11 10:39:20.714395,,,,,,626.75
2023-07-11 10:39:24.518689,,,,,,626.8
2023-07-11 10:39:25.033745,,,,,,626.75
2023-07-11 10:39:25.713748,,,,,,626.9
2023-07-11 10:39:26.034146,,,,,,626.75
2023-07-11 10:39:26.914602,,,,,,626.8
2023-07-11 10:39:27.033527,,,,,,626.75
2023-07-11 10:39:28.036594,,,,,,626.7
2023-07-11 10:39:28.325416,,,,,,626.8
2023-07-11 10:39:29.041067,,,,,,626.65
2023-07-11 10:39:29.520759,,,,,,626.8
2023-07-11 10:39:30.714753,,,,,,626.75
2023-07-11 10:39:31.037714,,,,,,626.65
2023-07-11 10:39:31.715296,,,,,,626.75
2023-07-11 10:39:32.245966,,,,,,626.65
2023-07-11 10:39:32.918551,,,,,,626.75
2023-07-11 10:39:33.033478,,,,,,626.65
2023-07-11 10:39:35.034989,,,,,,626.7
2023-07-11 10:39:36.248533,,,,,,626.6
2023-07-11 10:39:36.719920,,,,,,626.7
2023-07-11 10:39:38.042133,,,,,,626.65
2023-07-11 10:39:39.043530,,,,,,626.7
2023-07-11 10:39:42.036712,,,,,,626.75
2023-07-11 10:39:42.716291,,,,,,626.8
2023-07-11 10:39:44.038374,,,,,,626.65
2023-07-11 10:39:44.916876,,,,,,626.8
2023-07-11 10:39:45.037800,,,,,,626.7
2023-07-11 10:39:46.038885,,,,,,626.75
2023-07-11 10:39:47.523197,,,,,,626.8
2023-07-11 10:39:48.038712,,,,,,626.75
2023-07-11 10:39:48.518427,,,,,,626.8
2023-07-11 10:39:49.727216,,,,,,626.75
2023-07-11 10:39:53.039422,,,,,,626.8
2023-07-11 10:39:53.518126,,,,,,626.75
2023-07-11 10:39:56.042821,,,,,,626.8
2023-07-11 10:39:56.920628,,,,,,626.75
2023-07-11 10:39:57.039699,,,,,,626.8
2023-07-11 10:39:58.041493,,,,,,626.75
2023-07-11 10:39:59.041844,,,,,,626.8
2023-07-11 10:39:59.522782,,,,,,626.75
2023-07-11 10:40:00.721150,,,,,,626.8
2023-07-11 10:40:03.046328,,,,,,626.75
2023-07-11 10:40:04.072455,,,,,,626.8
2023-07-11 10:40:07.043614,,,,,,626.75
2023-07-11 10:40:07.724508,,,,,,626.8
2023-07-11 10:40:08.042310,,,,,,626.75
2023-07-11 10:40:09.044481,,,,,,626.7
2023-07-11 10:40:11.046671,,,,,,626.75
2023-07-11 10:40:12.931781,,,,,,626.7
2023-07-11 10:40:13.044881,,,,,,626.65
2023-07-11 10:40:13.930605,,,,,,626.7
2023-07-11 10:40:15.135904,,,,,,626.65
2023-07-11 10:40:15.328788,,,,,,626.7
2023-07-11 10:40:16.044275,,,,,,626.65
2023-07-11 10:40:16.335207,,,,,,626.7
2023-07-11 10:40:17.114703,,,,,,626.25
2023-07-11 10:40:17.529190,,,,,,626.5
2023-07-11 10:40:18.045206,,,,,,626.4
2023-07-11 10:40:19.049804,,,,,,626.6
2023-07-11 10:40:19.736887,,,,,,626.4
2023-07-11 10:40:20.049842,,,,,,626.25
2023-07-11 10:40:20.930695,,,,,,626.55
2023-07-11 10:40:21.078548,,,,,,626.25
2023-07-11 10:40:25.534936,,,,,,626.35
2023-07-11 10:40:26.334206,,,,,,626.25
2023-07-11 10:40:27.048304,,,,,,626.4
2023-07-11 10:40:28.536456,,,,,,626.35
2023-07-11 10:40:29.734604,,,,,,626.25
2023-07-11 10:40:30.049570,,,,,,626.2
2023-07-11 10:40:31.937001,,,,,,626.25
2023-07-11 10:40:32.936344,,,,,,626.2
2023-07-11 10:40:34.052038,,,,,,626.25
2023-07-11 10:40:35.050821,,,,,,626.1
2023-07-11 10:40:37.050187,,,,,,626.05
2023-07-11 10:40:37.737760,,,,,,626.1
2023-07-11 10:40:38.049566,,,,,,626.05
2023-07-11 10:40:40.053534,,,,,,626.0
